INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-06 11:50:59,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 10:34:59,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-05 14:16:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-03 21:05:59,2.0,1.0,2.0,1.0,3.0,2.0,2.0
2019-10-08 13:11:59,3.0,2.0,4.0,1.0,1.0,5.0,1.0
2019-10-06 07:58:00,3.0,3.0,4.0,1.0,3.0,2.0,1.0
2019-10-03 21:59:00,1.0,4.0,3.0,2.0,2.0,3.0,1.0
2019-10-06 00:34:00,1.0,3.0,4.0,2.0,2.0,3.0,1.0
2019-10-04 17:30:00,3.0,2.0,4.0,2.0,1.0,6.0,1.0
2019-10-07 21:34:00,3.0,2.0,3.0,1.0,3.0,2.0,1.0
2019-10-06 18:23:00,2.0,2.0,4.0,2.0,1.0,5.0,9.0
2019-10-05 08:36:00,2.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-04 21:00:00,3.0,1.0,3.0,2.0,2.0,4.0,2.0
2019-10-04 23:38:00,1.0,4.0,3.0,1.0,2.0,3.0,1.0
2019-10-12 07:37:00,2.0,2.0,2.0,2.0,3.0,2.0,1.0
2019-10-03 20:57:00,2.0,1.0,3.0,1.0,1.0,6.0,2.0
2019-10-04 23:47:00,2.0,2.0,3.0,2.0,3.0,2.0,1.0
2019-10-10 03:49:59,2.0,1.0,2.0,2.0,1.0,5.0,2.0
2019-10-04 01:00:00,1.0,4.0,3.0,1.0,2.0,3.0,1.0
2019-10-07 17:36:59,2.0,2.0,2.0,2.0,3.0,1.0,2.0
2019-10-04 21:26:00,2.0,1.0,3.0,2.0,1.0,5.0,2.0
2019-10-05 00:00:00,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 18:57:00,2.0,2.0,4.0,1.0,1.0,5.0,2.0
2019-10-05 19:09:00,2.0,1.0,4.0,2.0,3.0,2.0,2.0
2019-10-08 04:51:00,3.0,4.0,4.0,1.0,1.0,6.0,1.0
2019-10-04 23:33:00,2.0,2.0,4.0,2.0,2.0,3.0,2.0
2019-10-04 01:20:59,3.0,2.0,4.0,1.0,1.0,6.0,2.0
2019-10-07 02:20:59,2.0,4.0,3.0,2.0,3.0,2.0,1.0
2019-10-03 20:55:00,3.0,3.0,4.0,1.0,1.0,6.0,1.0
2019-10-06 17:12:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-03 22:11:59,2.0,1.0,3.0,2.0,3.0,2.0,2.0
2019-10-07 20:39:00,3.0,2.0,4.0,1.0,1.0,5.0,1.0
2019-10-03 21:04:00,2.0,1.0,2.0,1.0,1.0,5.0,2.0
2019-10-07 01:06:59,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-04 21:29:00,3.0,1.0,3.0,1.0,1.0,6.0,2.0
2019-10-03 21:16:00,2.0,1.0,2.0,2.0,1.0,6.0,2.0
2019-10-08 18:35:00,2.0,2.0,3.0,2.0,3.0,2.0,9.0
2019-10-08 03:57:59,2.0,1.0,4.0,2.0,2.0,3.0,2.0
2019-10-06 20:09:00,3.0,2.0,3.0,1.0,3.0,2.0,1.0
2019-10-04 15:39:00,1.0,4.0,3.0,1.0,1.0,6.0,1.0
2019-10-04 21:26:59,2.0,1.0,4.0,2.0,2.0,3.0,2.0
2019-10-10 12:26:00,2.0,3.0,4.0,1.0,2.0,3.0,1.0
2019-10-08 14:41:59,1.0,4.0,4.0,1.0,2.0,3.0,1.0
2019-10-05 13:39:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-05 01:11:00,3.0,2.0,3.0,2.0,2.0,4.0,1.0
2019-10-04 16:17:00,3.0,2.0,3.0,2.0,3.0,2.0,1.0
2019-10-05 16:41:00,2.0,1.0,2.0,2.0,1.0,5.0,1.0
2019-10-04 21:53:00,2.0,1.0,4.0,2.0,2.0,4.0,2.0
2019-10-04 20:34:59,1.0,2.0,4.0,1.0,1.0,5.0,1.0
2019-10-04 21:16:00,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-04 16:44:00,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 20:41:00,2.0,1.0,4.0,1.0,3.0,1.0,2.0
2019-10-07 18:19:59,3.0,1.0,3.0,2.0,1.0,5.0,2.0
2019-10-04 20:09:00,2.0,1.0,4.0,2.0,2.0,4.0,2.0
2019-10-07 00:11:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-11 19:33:00,2.0,1.0,4.0,1.0,2.0,3.0,2.0
2019-10-04 02:58:59,2.0,1.0,3.0,1.0,1.0,5.0,2.0
2019-10-06 17:04:00,3.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-03 23:30:00,2.0,1.0,2.0,1.0,1.0,6.0,2.0
2019-10-04 21:02:00,2.0,1.0,4.0,2.0,2.0,3.0,2.0
2019-10-01 23:47:00,3.0,3.0,4.0,1.0,1.0,5.0,1.0
2019-10-05 06:41:00,2.0,2.0,2.0,1.0,1.0,5.0,2.0
2019-10-07 04:34:00,2.0,1.0,4.0,1.0,2.0,4.0,2.0
