Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,population,GCAG_TEMP,GIS_TEMP,Sea_anomaly_temp,GMSL,CO2_Increase,CSIRO Adjusted Sea Level,Glacier_mass
2075,3731.178195488719,5545.398496240596,8669.033082706766,1345.9518796992488,183.6864661654131,36553925690.526306,1.9132197744360866,2.0391503759398475,2.1104795327819517,263.38932330827083,5.640345864661668,16.919616938127803,-63.150345112781906
2076,3763.287969924808,5581.823308270672,8748.087218045112,1360.445864661655,185.50977443609008,36795559404.04205,1.9320584962406002,2.059669172932331,2.133991971879695,266.5654887218052,5.692639097744376,17.048496222818784,-63.74470075187969
2077,3795.3977443608965,5618.248120300748,8827.141353383457,1374.939849624061,187.33308270676662,37037193117.55786,1.9508972180451067,2.0801879699248076,2.1575044109774453,269.74165413533865,5.744932330827083,17.177375507509765,-64.33905639097748
2078,3827.507518796985,5654.672932330825,8906.195488721802,1389.4338345864671,189.15639097744315,37278826831.07367,1.9697359398496204,2.100706766917291,2.1810168500751885,272.917819548873,5.797225563909777,17.306254792200747,-64.93341203007526
2079,3859.6172932330737,5691.097744360901,8985.249624060147,1403.9278195488732,190.97969924812014,37520460544.58948,1.988574661654134,2.121225563909775,2.204529289172932,276.09398496240647,5.849518796992484,17.43513407689173,-65.52776766917304
2080,3891.727067669177,5727.522556390977,9064.303759398492,1418.4218045112793,192.80300751879668,37762094258.105225,2.0074133834586405,2.1417443609022513,2.228041728270675,279.2701503759399,5.901812030075192,17.56401336158271,-66.1221233082706
2081,3923.8368421052655,5763.947368421053,9143.357894736837,1432.9157894736854,194.6263157894732,38003727971.62103,2.026252105263154,2.162263157894735,2.2515541673684183,282.4463157894743,5.954105263157899,17.69289264627369,-66.71647894736839
2082,3955.946616541354,5800.372180451115,9222.412030075182,1447.4097744360915,196.4496240601502,38245361685.13684,2.0450908270676678,2.1827819548872185,2.2750666064661615,285.62248120300774,6.006398496240607,17.821771930964672,-67.31083458646617
2083,3988.056390977443,5836.796992481191,9301.466165413527,1461.9037593984976,198.27293233082673,38486995398.65259,2.0639295488721743,2.203300751879695,2.298579045563905,288.7986466165421,6.058691729323314,17.950651215655654,-67.90519022556396
2084,4020.1661654135314,5873.221804511268,9380.520300751872,1476.3977443609037,200.09624060150327,38728629112.168396,2.082768270676688,2.2238195488721786,2.322091484661655,291.97481203007555,6.110984962406022,18.079530500346635,-68.49954586466174
