,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring
44,2055,4590.107493837779,6519.7540869893855,10783.71355587244,1733.6627419732577,232.45955539166744
45,2056,4656.7075183738125,6595.304084381991,10947.682548046083,1763.7252313888275,236.2413438874264
46,2057,4723.357271256573,6670.910492811832,11111.773971209099,1793.810167611391,240.0259561372436
47,2058,4790.056785564397,6746.573349802478,11275.987906800176,1823.9175655721447,243.81339401942614
48,2059,4856.80609439627,6822.292692900868,11440.324436308932,1854.047440211587,247.60365941345208
49,2060,4923.605230871857,6898.068559677413,11604.783641275775,1884.1998064795443,251.39675419997548
50,2061,4990.454228131428,6973.900987725938,11769.36560329204,1914.374679335182,255.1926802608209
51,2062,5057.353119336032,7049.790014663755,11934.07040399997,1944.572073747,258.9914394789903
52,2063,5124.301937667326,7125.7356781316485,12098.89812509279,1974.792004692823,262.7930337386588
53,2064,5191.300716327729,7201.73801579389,12263.848848314636,2005.03448715985,266.59746492517843
54,2065,5258.349488540385,7277.797065338251,12428.922655460774,2035.299536144612,270.4047349250768
55,2066,5325.448287549145,7353.912864476049,12594.119628377375,2065.5871666530074,274.2148456260602
56,2067,5392.59714661858,7430.085450942104,12759.439848961803,2095.8973937002993,278.0277989170122
57,2068,5459.7960990340725,7506.314862494779,12924.8833991625,2126.2302323111144,281.84359668799425
58,2069,5527.045178101755,7582.6011369160115,13090.450360978954,2156.5856975194656,285.6622408302492
59,2070,5594.344417148539,7658.944312011357,13256.140816461964,2186.9638043687373,289.4837332361981
60,2071,5661.693849522133,7735.344425609888,13421.954847713438,2217.3645679117,293.3080757994435
61,2072,5729.093508591068,7811.801515564337,13587.892536886531,2247.7880032105313,297.13527041477073
62,2073,5796.543427744655,7888.315619751011,13753.953966185654,2278.2341253367886,300.96531897814566
63,2074,5864.043640393087,7964.886776069863,13920.139217866468,2308.70294937144,304.7982233867169
64,2075,5931.594179967367,8041.515022444524,14086.448374236032,2339.1944904048687,308.63398553881825
65,2076,5999.19507991938,8118.200396822256,14252.881517652742,2369.7087635368625,312.47260733396706
66,2077,6066.846373721863,8194.942937173983,14419.438730526337,2400.245783876635,316.31409067286586
67,2078,6134.548094868434,8271.742681494346,14586.120095318009,2430.805566542829,320.15843745740267
68,2079,6202.300276873611,8348.599667801682,14752.925694540347,2461.3881266635144,324.0056495906524
69,2080,6270.102953272835,8425.513934138027,14919.855610757455,2491.993479376197,327.85572897687734
70,2081,6337.956157622444,8502.4855185692,15086.909926584893,2522.62163982783,331.7086775215271
71,2082,6405.859923499731,8579.514459184677,15254.08872468982,2553.27262317482,335.5644971312404
72,2083,6473.814284502914,8656.600794097787,15421.39208779097,2583.9464445830163,339.4231897138452
73,2084,6541.819274251182,8733.74456144558,15588.820098658558,2614.6431192277305,343.28475717835954
74,2085,6609.874926384691,8810.945799388908,15756.372840114578,2645.362662293752,347.14920143499194
75,2086,6677.981274564569,8888.204546112422,15924.050395032595,2676.1050889753315,351.0165243951428
76,2087,6746.138352472968,8965.520839824589,16091.852846337919,2706.870414476194,354.8867279714045
77,2088,6814.3461938129985,9042.8947187577,16259.780277007463,2737.658654009563,358.7598140775626
78,2089,6882.60483230884,9120.32622116794,16427.832770070032,2768.4698227981244,362.6357846285964
79,2090,6950.9143017056995,9197.815385335285,16596.010408606176,2799.3039360740877,366.51464154067844
80,2091,7019.274635769812,9275.362249563637,16764.313275748224,2830.16100907914,370.3963867311777
81,2092,7087.685868288456,9352.966852180733,16932.741454680363,2861.0410570644854,374.2810221186578
82,2093,7156.148033070036,9430.629231538289,17101.295028638677,2891.9440952908335,378.16854962288016
83,2094,7224.661163943987,9508.34942601186,17269.974080911168,2922.870139028415,382.05897116480264
84,2095,7293.225294760858,9586.127474000983,17438.778694837703,2953.8192035569773,385.95228866658044
85,2096,7361.840459392326,9663.963413929116,17607.708953810245,2984.7913041658103,389.8485040515684
86,2097,7430.506691731156,9741.857284243699,17776.764941272617,3015.786456153717,393.7476192443205
87,2098,7499.22402569127,9819.809123416126,17945.94674072083,3046.804674829058,397.64963617058993
88,2099,7567.9924952077345,9897.8189699418,18115.25443570278,3077.8459755097283,401.5545567573322
89,2100,7636.812134236759,9975.886862340078,18284.688109818584,3108.910373523184,405.46238293270335
90,2101,7705.682976755757,10054.012839154413,18454.24784672048,3139.99788420643,409.3731166260618
91,2102,7774.605056763285,10132.196938952227,18623.933730112825,3171.1085229060336,413.2867597679692
92,2103,7843.578408279158,10210.439200324996,18793.74584375217,3202.242304978139,417.20331429019006
93,2104,7912.603065344338,10288.739661888307,18963.684271447244,3233.3992457884597,421.12278212569436
94,2105,7981.679062021045,10367.098362281758,19133.74909705916,3264.5793607122832,425.0451652086567
95,2106,8050.806432392703,10445.515340169062,19303.94040450116,3295.7826651344876,428.9704654744578
96,2107,8119.985210564038,10523.990634238071,19474.258277738903,3327.009174449544,432.89868485968464
97,2108,8189.2154306609955,10602.524283200677,19644.702800790343,3358.2589040615203,436.8298253021312
98,2109,8258.497126830822,10681.116325792987,19815.274057725823,3389.5318693840854,440.7638887408002
99,2110,8327.830333242011,10759.766800775178,19985.972132668103,3420.8280858405196,444.7008771159026
100,2111,8397.21508408439,10838.475746931668,20156.797109792387,3452.147568863711,448.64079236885937
101,2112,8466.651413569089,10917.24320307099,20327.749073326297,3483.4903338961813,452.5836364423003
102,2113,8536.139355928557,10996.069208025918,20498.82810755004,3514.856396390056,456.5294112800684
103,2114,8605.678945416592,11074.953800653355,20670.034296796308,3546.2457718071128,460.4781188272159
104,2115,8675.270216308338,11153.897019834505,20841.367725450342,3577.6584756187585,464.4297610300091
105,2116,8744.913202900316,11232.898904474787,21012.82847795004,3609.0945233060447,468.3843398359263
106,2117,8814.607939510366,11311.959493503819,21184.416638785886,3640.5539303596706,472.34185719365996
107,2118,8884.354460477793,11391.07882587555,21356.132292500988,3672.036712279987,476.30231505311804
108,2119,8954.152800163276,11470.256940568157,21527.975523691217,3703.542884577015,480.26571536542224
109,2120,9024.002992948874,11549.493876584136,21699.94641700512,3735.0724627704294,484.2320600829107
110,2121,9093.905073238137,11628.789672950283,21872.045057144016,3766.625462389591,488.20135115913945
111,2122,9163.859075455977,11708.144368717709,22044.27152886201,3798.2018989735225,492.17359054888084
112,2123,9233.865034048831,11787.558002961872,22216.625916966033,3829.801788070945,496.14878020812466
113,2124,9303.922983484583,11867.030614782561,22389.108306315815,3861.4251452402605,500.12692209408124
114,2125,9374.032958252552,11946.562243303953,22561.718781824078,3893.07198604957,504.1080181651805
115,2126,9444.194992863624,12026.1529276746,22734.457428456313,3924.74232607667,508.0920703810707
116,2127,9514.40912185012,12105.802707067443,22907.324331231037,3956.4361809090733,512.0790807026242
117,2128,9584.675379765911,12185.511620679827,23080.319575219764,3988.1535661439993,516.069051091933
118,2129,9654.993801186392,12265.279707733542,23253.44324554695,4019.8944973883845,520.0619835123107
119,2130,9725.364420708524,12345.107007474784,23426.695427390136,4051.6589902588967,524.0578799282976
120,2131,9795.787272950773,12424.99355917421,23600.076205979916,4083.447060381921,528.0567423056564
121,2132,9866.262392553217,12504.939402126984,23773.585666600004,4115.258723393592,532.0585726113732
122,2133,9936.789814177515,12584.944575652684,23947.223894587223,4147.093994939787,536.0633728136618
123,2134,10007.36957250689,12665.00911909547,24120.990975331573,4178.952890676112,540.0711448819602
124,2135,10078.00170224622,12745.133071823919,24294.886994276225,4210.835426267942,544.0818907869343
125,2136,10148.686238121947,12825.3164732312,24468.912036917667,4242.741617390413,548.0956125004795
126,2137,10219.423214882183,12905.559362735003,24643.066188805562,4274.671479728422,552.1123119957156
127,2138,10290.212667296677,12985.86177977758,24817.34953554292,4306.625028976639,556.1319912469953
128,2139,10361.054630156847,13066.22376382575,24991.762162786006,4338.602280839506,560.1546522298995
129,2140,10431.949138275762,13146.645354370892,25166.3041562445,4370.603251031243,564.1802969212395
130,2141,10502.896226488207,13227.126590929038,25340.975601681508,4402.6279552758715,568.2089272990597
131,2142,10573.895929650644,13307.667513040768,25515.77658491349,4434.676409307212,572.2405453426345
132,2143,10644.94828264122,13388.268160271371,25690.70719181036,4466.74862886886,576.2751530324713
133,2144,10716.053320359882,13468.928572210687,25865.76750829554,4498.844629714236,580.3127523503135
134,2145,10787.211077728258,13549.648788473292,26040.95762034596,4530.964427606574,584.3533452791362
135,2146,10858.42158968973,13630.4288486984,26216.277613992133,4563.108038318911,588.3969338031511
136,2147,10929.68489120945,13711.26879254992,26391.727575318073,4595.275477634132,592.4435199078043
137,2148,11001.001017274357,13792.168659716452,26567.30759046154,4627.46676134492,596.4931055797797
138,2149,11072.37000289317,13873.128489911353,26743.01774561379,4659.681905253834,600.5456928069989
139,2150,11143.791883096397,13954.148322872657,26918.858127019863,4691.9209251732245,604.6012835786196
140,2151,11215.266692936399,14035.228198363184,27094.828820978495,4724.183836925331,608.65987988504
141,2152,11286.794467487322,14116.368156170502,27270.92991384209,4756.47065634223,612.7214837178972
142,2153,11358.375241845184,14197.568236106978,27447.161492016923,4788.781399265863,616.7860970700685
143,2154,11430.009051127847,14278.828478009716,27623.523641963024,4821.116081548025,620.8537219356722
144,2155,11501.695930475042,14360.148921740678,27800.016450194264,4853.474719050384,624.9243603100676
145,2156,11573.435915048387,14441.529607186647,27976.640003278386,4885.857327644502,628.9980141898586
