Year,Category_1,Category_4,Category_2,Category_3,Hurricane_total
2118,295.7150663989903,126.59285493476604,35.600783853139696,159.41914613147495,779.272948961271
2119,297.5786084408171,127.45875351136493,35.38969048270827,160.427005727415,784.2070397788638
2120,299.44215048264385,128.32465208796378,35.178597112276336,161.434865323355,789.141130596456
2121,301.30569252447066,129.1905506645626,34.9675037418445,162.44272491929507,794.0752214140488
2122,303.16923456629735,130.05644924116157,34.756410371412784,163.4505845152351,799.009312231641
2123,305.03277660812415,130.92234781776045,34.54531700098117,164.4584441111752,803.9434030492338
2124,306.8963186499509,131.78824639435925,34.33422363054926,165.46630370711517,808.8774938668261
2125,308.7598606917777,132.65414497095813,34.123130260117485,166.47416330305524,813.8115846844187
2126,310.62340273360536,133.52004354755746,33.91203688968728,167.48202289899578,818.7456755020137
2127,312.486944775432,134.3859421241563,33.70094351925524,168.4898824949358,823.6797663196061
2128,314.35048681725885,135.25184070075517,33.48985014882374,169.49774209087596,828.6138571371991
2129,316.21402885908566,136.117739277354,33.27875677839196,170.50560168681596,833.5479479547915
2130,318.07757090091235,136.9836378539528,33.06766340795987,171.51346128275597,838.4820387723838
2131,319.9411129427392,137.8495364305517,32.856570037528414,172.5213208786961,843.4161295899768
2132,321.80465498456596,138.71543500715055,32.645476667096716,173.52918047463612,848.3502204075693
2133,323.6681970263927,139.58133358374937,32.434383296664635,174.53704007057613,853.2843112251616
2134,325.53173906821945,140.44723216034822,32.22328992623319,175.5448996665162,858.2184020427541
2135,327.3952811100471,141.31313073694767,32.0121965558027,176.5527592624567,863.1524928603492
2136,329.25882315187374,142.1790293135465,31.801103185370636,177.56061885839674,868.0865836779413
2137,331.1223651937006,143.04492789014532,31.590009814939037,178.56847845433677,873.020674495534
2138,332.9859072355274,143.91082646674423,31.378916444507382,179.57633805027683,877.9547653131267
2139,334.849449277354,144.77672504334296,31.167823074075173,180.58419764621678,882.8888561307188
2140,336.71299131918096,145.6426236199419,30.95672970364373,181.59205724215693,887.8229469483117
2141,338.5765333610077,146.50852219654078,30.74563633321199,182.599916838097,892.7570377659042
2142,340.4400754028344,147.37442077313955,30.534542962780066,183.60777643403705,897.6911285834967
2143,342.3036174446612,148.2403193497384,30.32344959234854,184.6156360299771,902.6252194010897
2144,344.1671594864889,149.1062179263378,30.112356221918247,185.62349562591763,907.5593102186847
2145,346.03070152831555,149.97211650293661,29.901262851486237,186.63135522185766,912.493401036277
2146,347.8942435701424,150.83801507953547,29.690169481054596,187.6392148177977,917.4274918538697
2147,349.7577856119692,151.70391365613438,29.479076110622785,188.64707441373776,922.3615826714622
2148,351.6213276537958,152.5698122327332,29.267982740190618,189.65493400967773,927.2956734890543
2149,353.48486969562265,153.4357108093321,29.056889369758977,190.66279360561782,932.2297643066471
2150,355.3484117374495,154.30160938593104,28.84579599932755,191.6706532015579,937.1638551242398
2151,357.21195377927614,155.1675079625298,28.634702628895596,192.6785127974979,942.0979459418321
2152,359.0754958211029,156.03340653912866,28.42360925846387,193.68637239343795,947.0320367594246
2153,360.93903786293066,156.899305115728,28.21251588803466,194.6942319893785,951.9661275770198
2154,362.8025799047573,157.76520369232676,28.00142251760218,195.70209158531847,956.9002183946119
2155,364.666121946584,158.63110226892564,27.79032914717071,196.7099511812585,961.8343092122044
2156,366.52966398841085,159.4970008455245,27.579235776739125,197.7178107771986,966.7684000297971
2157,368.39320603023765,160.36289942212332,27.3681424063072,198.72567037313868,971.7024908473896
2158,370.25674807206445,161.22879799872217,27.157049035875488,199.73352996907875,976.6365816649825
2159,372.12029011389126,162.09469657532114,26.945955665444046,200.7413895650189,981.5706724825753
2160,373.9838321557179,162.9605951519199,26.734862295011823,201.74924916095884,986.5047633001674
2161,375.84737419754464,163.82649372851876,26.523768924580168,202.75710875689887,991.4388541177599
2162,377.7109162393723,164.6923923051182,26.312675554149934,203.76496835283942,996.3729449353549
2163,379.57445828119904,165.55829088171697,26.101582183717866,204.77282794877942,1001.3070357529472
2164,381.4380003230259,166.42418945831588,25.890488813286197,205.7806875447195,1006.2411265705401
2165,383.30154236485265,167.29008803491476,25.679395442854556,206.78854714065957,1011.1752173881326
2166,385.16508440667934,168.15598661151353,25.468302072422574,207.79640673659952,1016.1093082057249
2167,387.02862644850603,169.02188518811244,25.257208701990862,208.80426633253958,1021.0433990233174
2168,388.8921684903329,169.8877837647113,25.04611533155918,209.81212592847967,1025.97748984091
2169,390.75571053215964,170.75368234131014,24.83502196112724,210.81998552441968,1030.9115806585028
2170,392.61925257398633,171.61958091790893,24.62392859069564,211.82784512035968,1035.845671476095
2171,394.48279461581416,172.4854794945083,24.412835220265478,212.83570471630034,1040.7797622936907
2172,396.3463366576408,173.35137807110712,24.201741849833525,213.84356431224035,1045.7138531112828
2173,398.2098786994676,174.217276647706,23.99064847940153,214.85142390818044,1050.6479439288753
2174,400.07342074129434,175.08317522430485,23.779555108970087,215.8592835041205,1055.582034746468
2175,401.93696278312103,175.94907380090376,23.56846173853775,216.86714310006047,1060.5161255640603
2176,403.80050482494784,176.81497237750267,23.35736836810635,217.87500269600054,1065.450216381653
2177,405.66404686677464,177.68087095410152,23.146274997674908,218.8828622919406,1070.3843071992455
2178,407.5275889086014,178.54676953070035,22.935181627243026,219.8907218878806,1075.318398016838
2179,409.3911309504282,179.41266810729923,22.724088256811356,220.8985814838207,1080.2524888344306
2180,411.25467299225585,180.2785666838985,22.512994886380696,221.9064410797612,1085.1865796520256
2181,413.1182150340825,181.1444652604973,22.301901515948742,222.9143006757012,1090.1206704696178
2182,414.9817570759093,182.0103638370962,22.090808145517016,223.92216027164125,1095.0547612872108
2183,416.8452991177361,182.8762624136951,21.87971477508532,224.93001986758134,1099.988852104803
2184,418.70884115956267,183.74216099029383,21.66862140465325,225.93787946352126,1104.9229429223954
2185,420.5723832013896,184.60805956689273,21.457528034221895,226.94573905946137,1109.857033739988
2186,422.43592524321633,185.47395814349153,21.246434663790083,227.95359865540146,1114.7911245575808
