elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
675.0,1870-10-01,2020-10-19,-34.5444,"MOSS VALE HOSKINS STREET, AS",0.9932,GHCND:ASN00068045,METERS,150.3768
165.0,1880-01-01,2020-03-06,-34.1685,"PICTON COUNCIL DEPOT, AS",0.929,GHCND:ASN00068052,METERS,150.6145
50.0,1879-03-01,2020-10-18,-36.6884,"BEGA NEWTOWN ROAD, AS",0.9373,GHCND:ASN00069002,METERS,149.838
9.0,1869-05-01,2020-08-28,-37.0557,"EDEN CARAVAN PARK, AS",0.9795,GHCND:ASN00069015,METERS,149.9053
76.0,1876-09-01,2019-03-25,-35.3156,"MILTON POST OFFICE, AS",0.9187,GHCND:ASN00069016,METERS,150.4357
17.0,1875-06-01,2020-10-22,-35.9093,"MORUYA HEADS PILOT STATION, AS",0.9988,GHCND:ASN00069018,METERS,150.1532
42.0,1878-01-01,2020-08-31,-36.0876,"BODALLA POST OFFICE, AS",0.9451,GHCND:ASN00069036,METERS,150.0508
785.0,1879-09-01,2020-06-30,-36.7969,"BUKALONG STATION, AS",0.9957,GHCND:ASN00070009,METERS,149.1972
580.0,1870-10-01,2019-05-31,-35.3552,"QUEANBEYAN BOWLING CLUB, AS",0.9994,GHCND:ASN00070072,METERS,149.2292
855.0,1879-01-01,2020-07-31,-34.545,"WOODHOUSELEE LEESTON, AS",0.6928,GHCND:ASN00070131,METERS,149.6245
232.0,1872-01-01,2020-08-31,-35.2765,"TARCUTTA POST OFFICE, AS",0.9861,GHCND:ASN00072042,METERS,147.7362
285.0,1880-01-01,2020-09-30,-34.444,"TEMORA AMBULANCE STATION, AS",0.9522,GHCND:ASN00073037,METERS,147.533
197.0,1878-02-01,2020-01-16,-35.0996,"MUNDARLO YABTREE, AS",0.9077,GHCND:ASN00073055,METERS,147.7767
158.0,1878-01-01,2020-09-30,-34.2849,"BARELLAN POST OFFICE, AS",0.933,GHCND:ASN00074005,METERS,146.5714
119.0,1878-12-01,2016-01-31,-35.6577,"BERRIGAN POST OFFICE, AS",0.9168,GHCND:ASN00074009,METERS,145.8126
120.0,1870-03-01,2015-09-30,-35.3526,"URANA BUTHERWAH, AS",0.9576,GHCND:ASN00074026,METERS,146.31
125.0,1871-01-01,2020-10-19,-35.3305,"URANA POST OFFICE, AS",0.9575,GHCND:ASN00074110,METERS,146.2652
93.0,1858-02-01,2020-10-08,-35.5269,"DENILIQUIN WILKINSON ST, AS",0.9873,GHCND:ASN00074128,METERS,144.952
141.0,1876-08-01,2020-07-31,-34.2289,"BINYA POST OFFICE, AS",0.8035,GHCND:ASN00075006,METERS,146.3444
82.0,1877-01-01,2019-09-30,-34.2175,"HAY CORRONG, AS",0.8067,GHCND:ASN00075018,METERS,144.4661
64.0,1877-01-01,2011-12-31,-35.1619,"MALLAN NIEMUR VALLEY, AS",0.9674,GHCND:ASN00075020,METERS,143.873
104.0,1877-01-01,2020-09-30,-34.442,"GROONGAL GROONGAL STATION, AS",0.9406,GHCND:ASN00075026,METERS,145.5612
93.3,1877-05-01,2015-01-09,-34.5194,"HAY MILLER STREET, AS",0.9919,GHCND:ASN00075031,METERS,144.8545
192.0,1880-01-01,2015-11-12,-33.6104,"NARADHAN URALBA, AS",0.7388,GHCND:ASN00075050,METERS,146.3161
107.0,1880-01-01,2013-12-31,-34.4774,"GROONGAL GUNDALINE, AS",0.9602,GHCND:ASN00075064,METERS,145.5472
84.0,1876-01-31,2020-09-30,-34.0965,"BOOLIGAL ULONGA, AS",0.8744,GHCND:ASN00075069,METERS,144.6529
87.0,1868-10-01,2020-09-30,-35.2119,"WANGANELLA GENERAL STORE, AS",0.6465,GHCND:ASN00075071,METERS,144.816
99.0,1879-01-01,2015-12-26,-34.9953,"CONARGO WILLURAH, AS",0.9775,GHCND:ASN00075075,METERS,145.0915
82.0,1867-08-01,2019-11-03,-35.1721,"WANGANELLA ZARA, AS",0.7384,GHCND:ASN00075080,METERS,144.6966
112.0,1871-03-01,2017-11-21,-33.5871,"HILLSTON COWL COWL, AS",0.7795,GHCND:ASN00075096,METERS,145.3604
111.3,1878-03-01,2020-10-17,-36.4644,"DIMBOOLA, AS",0.9765,GHCND:ASN00078010,METERS,142.0327
128.0,1873-09-01,2015-08-31,-36.6613,"HORSHAM POLKEMMET RD, AS",0.9478,GHCND:ASN00079023,METERS,142.0687
133.0,1863-01-01,2020-10-22,-36.6722,"LONGERENONG, AS",0.7961,GHCND:ASN00079028,METERS,142.2991
580.0,1873-12-01,2020-09-30,-36.3702,"BEECHWORTH COMPOSITE, AS",0.9148,GHCND:ASN00082001,METERS,146.7132
557.0,1879-11-01,2020-09-30,-36.7872,"STRATHBOGIE NORTH, AS",0.9143,GHCND:ASN00082043,METERS,145.8225
15.2,1864-01-01,2020-10-22,-37.5679,"GABO ISLAND LIGHTHOUSE, AS",0.9732,GHCND:ASN00084016,METERS,149.9158
95.0,1872-11-01,2020-10-22,-39.1297,"WILSONS PROMONTORY LIGHTHOUSE, AS",0.9966,GHCND:ASN00085096,METERS,146.4244
31.2,1855-04-01,2015-01-06,-37.8075,"MELBOURNE REGIONAL OFFICE, AS",1.0,GHCND:ASN00086071,METERS,144.97
46.0,1868-09-01,2020-09-30,-38.2358,"MORNINGTON, AS",0.8656,GHCND:ASN00086079,METERS,145.0667
198.0,1856-03-01,2020-10-22,-37.5552,"YAN YEAN, AS",0.9236,GHCND:ASN00086131,METERS,145.1259
360.0,1879-04-01,2015-11-30,-37.6886,"CORANDERRK BADGER WEIR, AS",0.714,GHCND:ASN00086219,METERS,145.5644
508.7,1875-05-01,2020-10-18,-37.6018,"BALLAN, AS",0.9888,GHCND:ASN00087006,METERS,144.2295
560.0,1878-10-01,2020-10-19,-37.4701,"BLACKWOOD, AS",0.9215,GHCND:ASN00087017,METERS,144.3069
365.8,1874-01-01,2017-11-17,-37.8233,"DURDIDWARRAH, AS",0.884,GHCND:ASN00087021,METERS,144.2078
82.6,1878-01-01,2016-12-31,-38.0657,"LOVELY BANKS RESERVOIR, AS",0.9994,GHCND:ASN00087034,METERS,144.3281
505.0,1873-12-01,2020-09-30,-37.4155,"MACEDON FORESTRY, AS",0.8505,GHCND:ASN00087036,METERS,144.5569
488.0,1856-06-01,2020-09-30,-37.6719,"SCOTSBURN MOUNT BONINYONG, AS",0.8736,GHCND:ASN00087046,METERS,143.94
200.0,1878-07-01,2018-05-10,-37.5706,"SUNBURY SALESIAN COLLEGE, AS",0.9522,GHCND:ASN00087061,METERS,144.7411
221.0,1877-04-01,2020-08-31,-37.1916,"ALEXANDRA POST OFFICE, AS",0.9988,GHCND:ASN00088001,METERS,145.7116
332.0,1879-07-01,2020-10-17,-37.3049,"CLUNES, AS",0.9915,GHCND:ASN00088015,METERS,143.7776
612.0,1869-09-01,2020-10-19,-37.3432,"DAYLESFORD, AS",0.9921,GHCND:ASN00088020,METERS,144.1575
470.0,1872-08-01,2020-05-31,-37.1965,"MALMSBURY RESERVOIR, AS",0.8958,GHCND:ASN00088042,METERS,144.3742
249.3,1878-01-01,2020-10-22,-37.056,"MARYBOROUGH, AS",0.9965,GHCND:ASN00088043,METERS,143.732
698.0,1878-01-01,2020-10-17,-37.3894,"TRENTHAM POST OFFICE, AS",0.8722,GHCND:ASN00088059,METERS,144.3232
222.0,1879-05-01,2020-10-20,-37.6901,"WICKLIFFE, AS",0.989,GHCND:ASN00089033,METERS,142.7253
82.0,1864-04-01,2020-10-22,-38.8556,"CAPE OTWAY LIGHTHOUSE, AS",0.9989,GHCND:ASN00090015,METERS,143.5128
115.0,1880-01-01,2016-08-25,-37.435,"CASTERTON WARROCK, AS",0.9945,GHCND:ASN00090020,METERS,141.3428
55.0,1872-01-01,2016-06-30,-38.3846,"PORTLAND, AS",0.941,GHCND:ASN00090070,METERS,141.6074
55.0,1880-01-01,2020-10-22,-43.4892,"CAPE BRUNY LIGHTHOUSE, AS",0.8834,GHCND:ASN00094010,METERS,147.1453
383.0,1876-01-01,2020-10-20,48.05,"KREMSMUENSTER, AU",1.0,GHCND:AU000005010,METERS,14.1331
199.0,1855-02-01,2020-10-20,48.2331,"WIEN, AU",0.9985,GHCND:AU000005901,METERS,16.35
437.0,1874-01-01,2020-10-20,47.8,"SALZBURG, AU",0.9825,GHCND:AU000006306,METERS,13.0
577.0,1877-01-01,2020-10-20,47.2667,"INNSBRUCK, AU",0.9486,GHCND:AU000011801,METERS,11.4
104.0,1833-01-01,2020-10-20,50.8,"UCCLE, BE",0.9991,GHCND:BE000006447,METERS,4.35
142.0,1875-07-01,2020-10-16,52.117,"PINSK, BO",0.7886,GHCND:BOM00033019,METERS,26.117
11.0,1879-04-01,2014-08-31,49.1667,"CHILLIWACK, CA",0.7889,GHCND:CA001101530,METERS,-121.9167
200.0,1870-05-01,2020-10-13,44.1667,"KINCARDINE, CA",0.3649,GHCND:CA006124127,METERS,-81.6167
175.0,1872-10-01,2014-08-09,43.0,"WELLAND, CA",0.9372,GHCND:CA006139445,METERS,-79.2667
188.0,1866-06-01,2020-10-20,42.3333,"WINDSOR RIVERSIDE, CA",0.4827,GHCND:CA006139520,METERS,-82.9333
282.0,1870-02-01,2020-10-18,43.1333,"WOODSTOCK, CA",0.9938,GHCND:CA006149625,METERS,-80.7667
76.0,1866-01-01,2020-10-20,44.15,"BELLEVILLE, CA",0.737,GHCND:CA006150689,METERS,-77.4
113.0,1840-03-01,2017-04-28,43.6667,"TORONTO, CA",0.9993,GHCND:CA006158350,METERS,-79.4
206.0,1875-06-01,2014-07-29,45.1833,"BROME, CA",0.9294,GHCND:CA007020840,METERS,-72.5667
190.0,1871-10-01,2020-08-31,45.8167,"DANVILLE, CA",0.296,GHCND:CA007021954,METERS,-71.9833
123.0,1871-10-01,2020-08-31,45.6333,"RICHMOND, CA",0.4615,GHCND:CA007026465,METERS,-72.1333
20.0,1869-01-01,2020-10-20,6.117,HAMBANTOTA,0.9072,GHCND:CE000043497,METERS,81.133
1880.0,1869-02-01,2020-10-20,6.967,"NUWARA ELIYA, CE",0.9649,GHCND:CE000434730,METERS,80.767
