Entity,Code,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
Croatia,HRV,1991,0.01903361148,0.0850896,0,5.881,0,0,0,0.138586514
Croatia,HRV,1992,0.016730369063999998,0.0882018,0.006,4.349,0,0,0,0.138586514
Croatia,HRV,1993,0.014218749612,0.0931266,0.019,4.55,0,0,0,0.146424602
Croatia,HRV,1994,0.00889988076,0.0876204,0.006,5.435,0,0,0,0.151063232
Croatia,HRV,1995,0.007316893548,0.080982,0.005,5.683,0,0,0,0.16736208800000002
Croatia,HRV,1996,0.005991059592,0.0907461,0.01,7.8629999999999995,0,0,0,0.158727418
Croatia,HRV,1997,0.01018480968,0.0940671,0.002,5.853,0,0,0,0.16951748100000003
Croatia,HRV,1998,0.009737491968,0.0904248,0.005,6.022,0,0,0,0.19106832399999998
Croatia,HRV,1999,0.008636363567999999,0.091683,0.002,7.327000000000001,0,0,0,0.189190045
Croatia,HRV,2000,0.018074373732,0.0925038,0.001,6.452999999999999,0,0,0,0.168297521
Croatia,HRV,2001,0.02012029542,0.09693,0,7.181,0,0,0,0.172466955
Croatia,HRV,2002,0.024457443407999997,0.09924119999999999,0,5.851,0,0,0,0.180655598
Croatia,HRV,2003,0.027201179052,0.0986463,0,5.457999999999999,0,0,0,0.19992122699999998
Croatia,HRV,2004,0.028884858804,0.102306,0.004,7.627000000000001,0,0,0.002,0.18757232850000002
Croatia,HRV,2005,0.028624104900000003,0.09893660000000001,0.013999999999999999,7.0360000000000005,0,0,0.01,0.19307702920000003
Croatia,HRV,2006,0.026572698504,0.0978452,0.011000000000000001,6.617000000000001,0,0,0.019,0.1960994039
Croatia,HRV,2007,0.028849103531999997,0.11242780000000001,0.006999999999999999,4.7,0,0,0.035,0.200772734414894
Croatia,HRV,2008,0.029688724404000003,0.1089734,0.021,5.781000000000001,0,0,0.04,0.190384383775884
Croatia,HRV,2009,0.021215436696,0.1006196,0.025,7.409,0,0.000016464,0.054000000000000006,0.185939055197525
Croatia,HRV,2010,0.028583325468,0.11021099999999999,0.033,9.126,0,0.000016464,0.139,0.1579963601
Croatia,HRV,2011,0.029421564695999998,0.10761,0.055,5.033,0,0.000016464,0.201,0.1502444354
Croatia,HRV,2012,0.026385171732,0.10103780000000001,0.094,4.837,0,0.002,0.32899999999999996,0.13464037869999998
Croatia,HRV,2013,0.02826738954,0.09553660000000001,0.125,8.622,0,0.011293959,0.517,0.1295190804
Croatia,HRV,2014,0.027075868128,0.08454856,0.165,9.007,0,0.035,0.73,0.1355852564
Croatia,HRV,2015,0.02536007562,0.08716432,0.266,6.391,0,0.057,0.7959999999999999,0.14085767944
Croatia,HRV,2016,0.027255356244000002,0.09087672,0.431,6.853,0,0.066,1.014,0.1414554299
Croatia,HRV,2017,0.016426239912000002,0.10438801,0.5256,5.3074,0,0.0787,1.204,0.15120558580000001
Croatia,HRV,2018,0.015293710512000002,0.101470380718175,0.6701,7.7009,0,0.0749,1.3354,0.14650352349999998
Croatia,HRV,2019,0.0180660827344017,0.106006995248247,0.8560038086265319,5.84119546048641,0,0.0784072309419513,1.4396502701208,0.141546858117156
Cyprus,CYP,1965,0,0,0,0,0,0,0,0.016848902
Cyprus,CYP,1966,0,0,0,0,0,0,0,0.019219077
Cyprus,CYP,1967,0,0,0,0,0,0,0,0.020834117
Cyprus,CYP,1968,0,0,0,0,0,0,0,0.023138106000000002
